Date,signal,short_mav,long_mav,positions
2019-01-11,0.0,373.3692932128906,373.3692932128906,
2019-01-14,0.0,370.8048858642578,370.8048858642578,0.0
2019-01-15,0.0,369.75281778971356,369.75281778971356,0.0
2019-01-16,0.0,369.8555603027344,369.8555603027344,0.0
2019-01-17,0.0,369.7791259765625,369.7791259765625,0.0
2019-01-18,0.0,369.30077107747394,369.30077107747394,0.0
2019-01-21,0.0,368.9168134416853,368.9168134416853,0.0
2019-01-22,0.0,368.30212783813477,368.30212783813477,0.0
2019-01-23,0.0,367.6432156032986,367.6432156032986,0.0
2019-01-24,0.0,366.8596435546875,366.8596435546875,0.0
2019-01-25,0.0,365.53708718039775,365.53708718039775,0.0
2019-01-28,0.0,363.31302134195965,363.31302134195965,0.0
2019-01-29,0.0,361.6814950796274,361.6814950796274,0.0
2019-01-30,0.0,361.6251329694475,361.6251329694475,0.0
2019-01-31,0.0,361.48094482421874,361.48094482421874,0.0
2019-02-01,0.0,360.7506618499756,360.7506618499756,0.0
2019-02-04,0.0,360.10048899931064,360.10048899931064,0.0
2019-02-05,0.0,359.41844855414496,359.41844855414496,0.0
2019-02-06,0.0,359.1534118652344,359.1534118652344,0.0
2019-02-07,0.0,358.88282470703126,358.88282470703126,0.0
2019-02-08,0.0,357.72637329101565,358.47127423967635,0.0
2019-02-11,0.0,356.5773178100586,357.87073308771306,0.0
2019-02-12,0.0,355.17428436279295,357.07583220108694,0.0
2019-02-14,0.0,353.62823791503905,356.3327916463216,0.0
2019-02-15,0.0,352.02794189453124,355.5781787109375,0.0
2019-02-18,0.0,350.38819122314453,354.7526327279898,0.0
2019-02-19,0.0,348.9851593017578,354.15262518988715,0.0
2019-02-20,0.0,347.8089797973633,353.6641649518694,0.0
2019-02-21,0.0,347.0149948120117,353.41685643689385,0.0
2019-02-22,0.0,346.38621826171874,353.210693359375,0.0
2019-02-25,0.0,346.3073135375977,353.13078160439767,0.0
2019-02-26,0.0,346.53663177490233,352.8277778625488,0.0
2019-02-27,0.0,346.47251892089844,352.4639337713068,0.0
2019-02-28,0.0,345.6957977294922,352.25493576947383,0.0
2019-03-01,0.0,345.1927764892578,352.1734200613839,0.0
2019-03-05,0.0,345.6168914794922,352.3430116441515,0.0
2019-03-06,0.0,346.47498626708983,352.73535238729943,0.0
2019-03-07,0.0,347.370068359375,353.0771958200555,0.0
2019-03-08,0.0,347.9273391723633,353.3964515099159,0.0
2019-03-11,0.0,348.775569152832,353.82919692993164,0.0
2019-03-12,0.0,350.4079193115234,354.5379303722847,0.0
2019-03-13,0.0,352.4717819213867,355.299803960891,0.0
2019-03-14,0.0,354.6219482421875,355.93449082485466,0.0
2019-03-15,1.0,357.15430755615233,356.70620796897197,1.0
2019-03-18,1.0,359.9110565185547,357.5039021809896,0.0
2019-03-19,1.0,362.85273895263674,358.2744180430537,0.0
2019-03-20,1.0,365.3012634277344,358.8967265676945,0.0
2019-03-22,1.0,367.59937591552733,359.47050285339355,0.0
2019-03-25,1.0,369.18734283447264,359.8537896603954,0.0
2019-03-26,1.0,371.26107025146484,360.43084411621095,0.0
2019-03-27,1.0,373.11534118652344,360.9678637934666,0.0
2019-03-28,1.0,375.69701995849607,361.6236402071439,0.0
2019-04-01,1.0,378.29595947265625,362.2118679982311,0.0
2019-04-02,1.0,380.6137969970703,362.75821770562067,0.0
2019-04-03,1.0,382.4803970336914,363.1941389604048,0.0
2019-04-04,1.0,383.73794708251955,363.5554885864258,0.0
2019-04-05,1.0,384.6552200317383,363.93530594675167,0.0
2019-04-08,1.0,385.45906524658204,364.24335769127157,0.0
2019-04-09,1.0,386.76839447021484,364.70897454730533,0.0
2019-04-10,1.0,387.67333984375,365.1105779012044,0.0
2019-04-11,1.0,387.76457061767576,365.43191078060966,0.0
2019-04-12,1.0,387.89772338867186,365.8152618408203,0.0
2019-04-15,1.0,388.1369064331055,366.15747990683906,0.0
2019-04-16,1.0,388.7139038085937,366.70861291885376,0.0
2019-04-18,1.0,389.02705841064454,367.20333486703726,0.0
2019-04-22,1.0,388.83472747802733,367.53511787183356,0.0
2019-04-23,1.0,389.01226501464845,367.88643953693446,0.0
2019-04-24,1.0,389.4708999633789,368.2941490622128,0.0
2019-04-25,1.0,390.05775756835936,368.6085629670516,0.0
2019-04-26,1.0,390.7037948608398,369.0802586146763,0.0
2019-04-30,1.0,391.4090087890625,369.5428342147612,0.0
2019-05-02,1.0,391.1624298095703,369.82885954115125,0.0
2019-05-03,1.0,391.3375,370.1914932041952,0.0
2019-05-06,1.0,391.5421600341797,370.53766157820417,0.0
2019-05-07,1.0,391.2659912109375,370.6799662272135,0.0
2019-05-08,1.0,390.9429733276367,370.76272141306026,0.0
2019-05-09,1.0,390.49173431396486,370.8330795486252,0.0
2019-05-10,1.0,390.3931030273437,370.9484205979567,0.0
2019-05-13,1.0,389.36486968994143,370.95097331759297,0.0
2019-05-14,1.0,388.68431091308594,371.0040111541748,0.0
2019-05-15,1.0,388.0432098388672,370.9855182647705,0.0
2019-05-16,1.0,387.44648895263674,371.09832801818845,0.0
2019-05-17,1.0,387.29607543945315,371.30730361938475,0.0
2019-05-20,1.0,387.3305953979492,371.7067611694336,0.0
2019-05-21,1.0,387.12100372314455,372.0217651367187,0.0
2019-05-22,1.0,387.6560806274414,372.4329345703125,0.0
2019-05-23,1.0,388.36376037597654,372.9156120300293,0.0
2019-05-24,1.0,389.87528839111326,373.6886360168457,0.0
2019-05-27,1.0,391.85285034179685,374.52823638916016,0.0
2019-05-28,1.0,393.1893051147461,375.3850971221924,0.0
